age,gender,height,weight,bmi,bmr,activity_level,total_daily_expenditure,carbs,protein,fat
30,0,1.65,75.3,27.62,1525.4719,1.2,1830.56628,823.754826,549.169884,457.64157
63,0,1.55,61.0,25.41,1218.87412,1.2,1462.648944,658.1920248,438.7946832,365.662236
60,1,1.68,66.0,23.48,1437.04836,1.55,2227.424958,1002.341231,668.2274874,556.8562395
38,0,1.52,67.7,29.15,1381.2101,1.2,1657.45212,745.853454,497.235636,414.36303
51,0,1.63,91.0,34.44,1571.85088,1.2,1886.221056,848.7994752,565.8663168,471.555264
41,0,1.65,123.5,45.31,1923.5473,1.2,2308.25676,1038.715542,692.477028,577.06419
47,1,1.7,74.0,25.55,1630.08482,1.2,1956.101784,880.2458028,586.8305352,489.025446
41,0,1.65,123.5,45.31,1923.5473,1.2,2308.25676,1038.715542,692.477028,577.06419
47,1,1.7,74.0,25.55,1630.08482,1.2,1956.101784,880.2458028,586.8305352,489.025446
41,0,1.65,123.5,45.31,1923.5473,1.2,2308.25676,1038.715542,692.477028,577.06419
47,1,1.6,64.5,25.19,1454.05548,1.2,1744.866576,785.1899592,523.4599728,436.216644
49,1,1.6,72.0,28.12,1543.19898,1.2,1851.838776,833.3274492,555.5516328,462.959694
54,1,1.68,72.0,25.62,1551.43236,1.2,1861.718832,837.7734744,558.5156496,465.429708
49,1,1.6,75.0,29.29,1583.38998,1.2,1900.067976,855.0305892,570.0203928,475.016994
41,1,1.78,80.0,25.31,1781.0372,1.2,2137.24464,961.760088,641.173392,534.31116
77,1,1.63,49.0,18.54,1088.58144,1.725,1877.802984,1032.791641,375.5605968,469.450746
56,0,1.52,71.0,30.57,1333.7852,1.2,1600.54224,720.244008,480.162672,400.13556
27,1,1.83,89.0,26.61,2005.32712,1.2,2406.392544,1082.876645,721.9177632,601.598136
41,1,1.78,80.0,25.31,1781.0372,1.2,2137.24464,961.760088,641.173392,534.31116
19,0,1.63,107.0,40.49,1858.36288,1.2,2230.035456,1003.515955,669.0106368,557.508864
49,1,1.6,72.0,28.12,1543.19898,1.2,1851.838776,833.3274492,555.5516328,462.959694
49,1,1.78,94.0,29.73,1923.2592,1.2,2307.91104,1038.559968,692.373312,576.97776
64,0,1.57,72.0,29.03,1324.13004,1.2,1588.956048,715.0302216,476.6868144,397.239012
64,0,1.52,62.0,26.69,1215.9222,1.2,1459.10664,656.597988,437.731992,364.77666
64,0,1.57,72.0,29.03,1324.13004,1.2,1588.956048,715.0302216,476.6868144,397.239012
66,1,1.63,64.0,24.22,1351.87344,1.55,2095.403832,942.9317244,628.6211496,523.850958
45,0,1.6,74.0,28.9,1432.76296,1.2,1719.315552,773.6919984,515.7946656,429.828888
47,0,1.57,45.0,18.15,1148.07104,1.725,1980.422544,1089.232399,396.0845088,495.105636
51,1,1.75,79.0,25.72,1698.78074,1.2,2038.536888,917.3415996,611.5610664,509.634222
42,1,1.68,76.0,27.04,1673.02436,1.2,2007.629232,903.4331544,602.2887696,501.907308
69,1,1.63,69.0,26.11,1401.85744,1.2,1682.228928,757.0030176,504.6686784,420.557232
56,1,1.78,81.0,25.62,1709.4292,1.2,2051.31504,923.091768,615.394512,512.82876
22,0,1.68,72.0,25.62,1537.46572,1.2,1844.958864,830.2314888,553.4876592,461.239716
51,1,1.55,61.0,25.41,1360.11906,1.2,1632.142872,734.4642924,489.6428616,408.035718
70,1,1.57,57.0,22.98,1211.04752,1.55,1877.123656,844.7056452,563.1370968,469.280914
55,0,1.65,83.0,30.45,1488.4238,1.2,1786.10856,803.748852,535.832568,446.52714
74,0,1.6,67.0,26.17,1242.46396,1.2,1490.956752,670.9305384,447.2870256,372.739188
52,0,1.6,63.5,24.8,1305.2975,1.55,2023.211125,910.4450063,606.9633375,505.8027813
47,1,1.7,74.0,25.61,1629.221,1.2,1955.0652,879.77934,586.51956,488.7663
65,0,1.49,48.5,21.85,1076.2245,1.725,1856.487263,1021.067994,371.2974525,464.1218156
47,0,1.62,58.0,22.1,1282.285,1.725,2211.941625,1216.567894,442.388325,552.9854063
54,0,1.67,68.3,24.49,1362.7091,1.9,2589.14729,1553.488374,517.829458,517.829458
70,0,1.49,47.0,21.17,1040.704,1.725,1795.2144,987.36792,359.04288,448.8036
74,1,1.8,85.0,26.23,1671.569,1.2,2005.8828,902.64726,601.76484,501.4707
55,1,1.72,71.0,24.0,1553.292,1.725,2679.4287,1473.685785,535.88574,669.857175
44,1,1.72,77.0,26.03,1696.011,1.55,2628.81705,1182.967673,788.645115,657.2042625
36,1,1.7,68.0,23.53,1611.176,1.55,2497.3228,1123.79526,749.19684,624.3307
71,1,1.7,67.0,23.18,1399.434,1.2,1679.3208,755.69436,503.79624,419.8302
52,0,1.6,62.0,24.22,1291.427,1.55,2001.71185,900.7703325,600.513555,500.4279625
69,1,1.65,62.0,22.77,1319.788,1.55,2045.6714,920.55213,613.70142,511.41785
52,0,1.67,105.0,37.65,1710.734,1.2,2052.8808,923.79636,615.86424,513.2202
44,1,1.7,76.0,26.3,1673.016,1.55,2593.1748,1166.92866,777.95244,648.2937
36,1,1.7,67.0,23.18,1597.779,1.55,2476.55745,1114.450853,742.967235,619.1393625
74,1,1.8,84.0,25.93,1658.172,1.725,2860.3467,1573.190685,572.06934,715.086675
48,1,1.7,69.5,24.05,1563.2675,1.725,2696.636438,1483.150041,539.3272875,674.1591094
63,1,1.7,61.5,21.28,1371.0865,1.55,2125.184075,956.3328338,637.5552225,531.2960188
60,0,1.6,64.5,25.2,1279.9045,1.55,1983.851975,892.7333888,595.1555925,495.9629938
34,1,1.77,94.5,30.16,2011.1235,1.2,2413.3482,1086.00669,724.00446,603.33705
44,1,1.7,76.0,26.3,1673.016,1.55,2593.1748,1166.92866,777.95244,648.2937
