Cuisines,Food item,Session consumed,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal)
Malnad,Kokum ,Snack/Dessert,1 cup,1.10,30.90,0.20,3.90,10.13,216.00,130.00
Malnad,Ellu Bella,Snack/Dessert,1 table spoon,1.40,3.30,4.50,1.10,40.56,10.00,57.00
Malnad,Pumpkin Curry,Lunch/Dinner,1 cup,3.10,16.70,7.70,2.80,52.1,250.00,146.00
Malnad,neer dosa,Breakfast,1 dosa,1.40,14.60,1.60,0.30,3.53,70.00,79.00
Malnad,Maddur vada,Lunch/Dinner,1 vada,1.50,11.60,5.20,0.70,6.25,28.00,100.00
naadu naadu,Kongunadu Chicken Curry,Lunch/Dinner,1 cup,3.50,18.20,15.10,5.80,69,250.00,215.00
naadu naadu,pongal,Breakfast/Lunch/Dinner,1 cup,6.00,39.00,5.00,1.80,27,216.00,223.00
naadu naadu,ambu Koozh,Lunch/Dinner,1 cup,3.10,14.50,1.90,1.80,44,250.00,86.00
naadu naadu,rasam,Lunch/Dinner,1 cup,2.50,9.60,1.30,1.70,33,250.00,60.00
naadu naadu,reode Turmeric Rice,Lunch/Dinner,1 cup,4.00,40.00,4.50,2.00,28,206.00,216.00
naadu naadu,athal Kuzhambu,Lunch/Dinner,1 bowl,3.70,37.00,1.70,6.50,155,350.00,170.00
naadu naadu,Tirunelveli Halwa,Dessert,1 cup,2.10,80.00,15.00,1.20,9.62,216.00,452.00
naadu naadu,Salem Sambhar,Lunch/Dinner,1 cup,9.20,27.00,5.00,6.00,60,250.00,189.00
naadu naadu,annapurna milk,"Breakfast/Lunch/Dinner (as a beverage, it can be consumed anytime)",1 cup,8.00,12.00,8.80,0.00,275,250.00,158.00
naadu naadu,Karur Parotta,Lunch/Dinner,1 piece,4.90,35.00,15.00,1.10,34.21,80.00,295.00
naadu naadu,Madurai Mutton Kari Dosai*,Lunch/Dinner,1 piece,9.70,16.90,15.40,1.80,10.76,131.00,247.00
naadu naadu,Thanjavur Thalicha Idli,Breakfast,1 piece,2.90,14.90,2.60,1.30,4.21,50.00,95.00
naadu naadu,Dindigul Biriyani,Lunch/Dinner,1 cup,12.20,31.00,12.00,1.40,118.9,206.00,283.00
naadu naadu,Namakkal Egg Parotta,Lunch/Dinner,1 piece,7.40,17.60,8.30,2.70,40,80.00,172.00
naadu naadu,Kanchipuram Idli*,Breakfast,1 piece,2.90,14.30,1.10,1.30,9.18,50.00,78.00
chola nadu ,Kathirikai Gothsu,Lunch/Dinner,1 cup,3.00,15.30,9.00,4.30,64,250.00,154.00
chola nadu,Kumbakonam Kadappa,Lunch/Dinner,1 bowl,11.00,48.00,11.30,9.00,123,350.00,331.00
chola nadu,Manaparai Murukku,Snack,1 piece,1.30,5.70,3.00,0.60,3.68,15.00,57.00
chola nadu,Thanjavur Thavala Adai,Lunch/Dinner,1 piece,6.60,30.00,7.90,2.80,40,100.00,215.00
chola nadu,Vathal Kuzhambu,Lunch/Dinner,1 bowl,3.70,37.00,1.70,6.50,155,350.00,170.00
chola nadu,Thiruvaiyaru Ashoka Halwa,Dessert,1 bowl,19.20,138.00,46.00,8.50,50,350.00,1039.00
chola nadu,Pudukkottai Fish Curry,Lunch/Dinner,1 cup,28.60,14.00,8.70,4.20,542,250.00,246.00
chola nadu,Nagapattinam Nei Meen Fry*,Lunch/Dinner,1 fillet,80.00,0.00,7.90,0.00,122,396.00,416.00
chola nadu,Karuvadu Kuzhambu,Lunch/Dinner,1 cup,11.30,17.00,17.40,6.00,116,250.00,265.00
chola nadu,Karaikudi Meen Varuval,Lunch/Dinner,1 piece,14.50,2.00,5.20,0.40,7.82,80.00,111.00
chola nadu,Seeraga Samba Rice Biriyani,Lunch/Dinner,1 cup,4.00,35.00,7.10,2.80,32,206.00,223.00
chola nadu,Mayiladuthurai Mutton Soup,Lunch/Dinner,1 bowl,12.10,7.30,9.70,2.90,128,350.00,165.00
chola nadu,Koil Paniyaram*,Breakfast,1 piece,0.70,3.60,2.00,0.10,3.5,20.00,35.00
chola nadu,Ariyamangalam Atho,Lunch/Dinner,1 cup,5.50,33.00,17.50,3.10,44,166.00,306.00
thondai nadu,Kanchipuram Idli*,Breakfast,1 piece,2.90,14.30,1.10,1.30,9.18,50.00,78.00
thondai nadu,Vadacurry,Lunch/Dinner,1 cup,8.60,27.00,21.50,7.50,39,250.00,326.00
thondai nadu,Chettinad Pepper Chicken,Lunch/Dinner,1 bowl,42.60,8.80,16.00,5.00,90,291.00,347.00
thondai nadu,Puliyodarai,Lunch/Dinner,1 bowl,8.70,66.00,10.70,3.10,62,290.00,391.00
thondai nadu,Thayir Vadai,Breakfast/Lunch/Dinner,1 piece,8.30,18.30,12.00,3.50,120,134.00,214.00
thondai nadu,bsi bele bath,Lunch/Dinner,1 cup,7.60,30.80,8.90,5.00,37.36,206.00,233.00
thondai nadu,pongal,Breakfast,1 cup,6.00,39.00,5.00,1.80,27,216.00,223.00
thondai nadu,Kothamalli Thogayal,Lunch/Dinner,1 tablespon,0.40,1.20,2.70,1.00,6,15.00,30.00
thondai nadu,madras chicken curry,Lunch/Dinner,1 bowl,40.00,9.80,10.50,2.20,70,350.00,283.00
thondai nadu,rasam,Lunch/Dinner,1 cup,2.50,9.60,1.30,1.70,33,250.00,60.00
thondai nadu,Arcot Biryani,Lunch/Dinner,1 cup,4.20,33.80,9.40,2.40,62,206.00,238.00
thondai nadu,Pallipalayam Chicken*,Lunch/Dinner,1 cup,20.50,9.80,22.20,3.60,28.57,250.00,316.00
thondai nadu,murukku,Snack,1 piece,1.30,5.00,3.00,0.60,3.68,15.00,57.00
thondai nadu,Ellu Sadam,Lunch/Dinner,1 cup,11.40,48.00,14.50,6.00,218,206.00,366.00
thondai nadu,Athirasam,Dessert,1 piece,1.60,18.00,4.00,0.50,17.28,30.00,113.00
kongu naadu,Kongunadu Chicken Curry,Lunch/Dinner,1 cup,27.80,19.80,13.40,5.50,58,250.00,313.00
kongu naadu,Ellu Sadam,Lunch/Dinner,1 cup,11.40,48.00,14.50,6.00,218,206.00,366.00
kongu naadu,Ragi Roti,Breakfast/Dinner,1 piece,2.00,19.20,0.40,3.00,92,40.00,87.00
kongu naadu,Kambu Koozh,Breakfast/Lunch,1 cup,3.10,14.50,1.90,1.90,43,250.00,86.00
kongu naadu,Paniyaram,Breakfast/Snack,1 piece,0.80,4.00,1.40,0.40,3.08,20.00,32.00
kongu naadu,Pallipalayam Chicken,Lunch/Dinner,1 cup,20.50,9.80,22.20,3.60,38.57,250.00,316.00
kongu naadu,Kongunadu Mutton Kuzhambu*,Lunch/Dinner,1 cup,20.30,13.20,20.50,4.90,236,250.00,314.00
kongu naadu,Vazhaipoo Vadai,Snack,1 piece,2.40,7.60,6.00,2.40,18.66,40.00,94.00
