Cuisines,Food item,Type,MealTimings,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal),GI,Side,Needside,meat_type
North Indian,chana dal paratha + dahi,veg,b,1 Paratha + 5.3 oz container,17.66,26.65,12.969999999999999,1.91,0,214.01999999999998,293.93,,1,1,5.0
North Indian,dal paratha + chole,veg,b,1 Paratha + 1 cup,11.83,49.31,21.919999999999998,9.51,0,259.1,429.36,,1,1,5.0
North Indian,dal paratha + channa masala,veg,b,1 Paratha + 1 cup,11.83,49.31,21.919999999999998,9.51,0,259.1,429.36,,1,1,5.0
North Indian,dal paratha + rajma,veg,b,1 Paratha + 1 cup,19.509999999999998,61.04,6.359999999999999,13.24,0,241.01999999999998,373.22,,1,1,5.0
North Indian,dal paratha + dahi,veg,b,1 Paratha + 5.3 oz container,17.66,26.65,12.969999999999999,1.91,0,214.01999999999998,293.93,,1,1,5.0
North Indian,chana dal paratha + chole,veg,b,1 Paratha + 1 cup,11.83,49.31,21.919999999999998,9.51,0,259.1,429.36,,1,1,5.0
North Indian,chana dal paratha + channa masala,veg,b,1 Paratha + 1 cup,11.83,49.31,21.919999999999998,9.51,0,259.1,429.36,,1,1,5.0
North Indian,chana dal paratha + rajma,veg,b,1 Paratha + 1 cup,19.509999999999998,61.04,6.359999999999999,13.24,0,241.01999999999998,373.22,,1,1,5.0
North Indian,chana dal paratha + dahi,veg,b,1 Paratha + 5.3 oz container,17.66,26.65,12.969999999999999,1.91,0,214.01999999999998,293.93,,1,1,5.0
South Indian,poha upma,veg,b,1 cup,4.03,35.41,6.92,1.91,0,163.4,219.18,,0,0
South Indian,vegetable upma,veg,b,1 cup,3.45,21.12,3.96,1.98,0,155.06,132.38,,0,0
South Indian,vegetable poha upma,veg,b,1 cup,4.03,35.41,6.92,1.91,0,163.4,219.18,,0,0
South Indian,pongal,veg,b,1 cup,7.32,53.98,8.07,3.79,0,207.0,318.62,,0,0
North Indian,plain poha,veg,b,1 cup,2.86,34.83,0.23,0.0,0,138.72,157.52,,0,0
North Indian,channa bhature,veg,"b,l,d",1 bhatura with chole,13.24,58.91,26.96,11.07,0,281.08,510.88,,0,0
North Indian,chole puri,veg,"b,l,d",1 serving,15.11,54.05,14.28,13.33,0,226.02,392.59,,0,0
North Indian,chana poori,veg,"b,l,d",1 serving,15.11,54.05,14.28,13.33,0,226.02,392.59,,0,0
North Indian,dhokla,veg,"b,s",1 piece,5.7,15.88,7.36,2.54,0,57.86,151.72,,0,0
