Field 0,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8,Field 9,Field 10,Field 11
Cuisines,Food item,Quantity,Proteins (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal),Food Allergies,Volume
N/A,coriander,100,12.3,55.2,17.8,41,N/A,100,306.3,N/A,0
N/A,garam masala,100,10.8,57.4,13,24,N/A,100,318,N/A,0
N/A,cardamom,100,10.9,68.3,6.4,27.9,N/A,100,314.5,N/A,0
N/A,cinnamon sticks,100,3.8,81,1.5,52.2,N/A,100,242.5,N/A,0
N/A,cloves,100,6.2,64.5,12.8,33.6,N/A,100,269.5,N/A,0
N/A,black pepper,100,10.5,64.1,3,24.8,N/A,100,245.3,N/A,0
N/A,tamarind,100,2.8,63,0.6,5,N/A,100,232.2,N/A,0
N/A,mango,100,0.8,14.8,0.4,1.6,N/A,100,61.6,N/A,0
N/A,bay leaves,100,10.1,75.6,10.1,24.5,N/A,100,320.3,N/A,0
N/A,chili powder,100,13.2,50.5,14.4,34.5,N/A,100,279.5,N/A,0
N/A,green chilies,100,2,9.3,0.2,1.5,N/A,100,40.4,N/A,0
N/A,onions,100,1.4,10.2,0.2,1.4,N/A,100,44.5,N/A,0
N/A,tomatoes,100,0.9,3.9,0.2,1.2,N/A,100,18.5,N/A,0
N/A,potatoes,100,2.5,21,0.1,2.2,N/A,100,92.9,N/A,0
N/A,cauliflower,100,1.8,4.1,0.5,2.3,N/A,100,22.4,N/A,0
N/A,peas,100,5.4,15.9,0.2,5.4,N/A,100,82.4,N/A,0
N/A,eggplant,100,0.8,8.7,0.2,2.5,N/A,100,34.7,N/A,0
N/A,okra,100,1.9,4.6,0.2,2.5,N/A,100,22.5,N/A,0
N/A,lentils,100,8.9,19.7,0.4,8,N/A,100,116.2,N/A,0
N/A,kidney beans,100,8.8,22.4,0.5,6.3,N/A,100,128.1,N/A,0
N/A,cottage cheese,100,11.2,3.4,4.3,0,N/A,100,98.3,N/A,0
N/A,lamb,100,24.4,0,20.5,0,N/A,100,301.2,N/A,0
N/A,mint leaves,100,3.3,8.5,0.7,6.9,N/A,100,42.8,N/A,0
N/A,cilantro,100,2.3,3.8,0.5,2.8,N/A,100,22.9,N/A,0
N/A,nutmeg,100,5.9,49,36.4,20.7,N/A,100,527.5,N/A,0
N/A,star anise,100,20.2,50.6,14.9,15.2,N/A,100,340.1,N/A,0
N/A,fennel seeds,100,16.1,53,14.9,39.4,N/A,100,336.1,N/A,0
N/A,chilies,100,2,9.5,0.2,1.5,N/A,100,40.3,N/A,0
N/A,water,100,0,0,0,0,N/A,100,0,N/A,0
