Cuisines,Food item,Type,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal),GI,Side,Needside,rating,meat_type
North Indian,wheat roti + lauki sabzi,veg,1 medium + 1 cup,5.03,29.61,6.35,7.18,0,279.3,188.68,,1,1,5.0,0
North Indian,wheat roti + rajma,veg,1 medium + 1 cup,18.49,58.81,4.57,15.21,0,217.0,344.39,,1,1,5.0,0
North Indian,wheat roti + dal makhani,veg,1 medium + 1 serving,19.42,57.92999999999999,27.89,17.09,0,293.46000000000004,546.49,,1,1,5.0,0
North Indian,wheat roti + palak dal,veg,1 medium + 1 servings,15.94,47.52,12.45,15.34,0,224.68,356.44,,1,1,5.0,0
North Indian,wheat roti + drumstick dal,veg,1 medium + 1 serving,8.1,35.230000000000004,12.18,8.76,0,425.54,274.79999999999995,,1,1,5.0,0
North Indian,wheat roti + plain chana dal,veg,"1 medium + 1 cup cooked",15.98,60.16,8.19,15.37,0,222.4,371.31,,1,1,5.0,0
North Indian,wheat roti + lentil dal,veg,1 medium + 1 cup,17.39,52.39,7.859999999999999,16.77,0,254.26,341.48,,1,1,5.0,0
North Indian,wheat roti + coconut dal,veg,1 medium + 1 cup,9.89,34.31,19.96,8.879999999999999,0,180.55,344.34000000000003,,1,1,5.0,0
North Indian,wheat roti + dal,veg,1 medium + 1 cup,17.39,52.39,7.859999999999999,16.77,0,254.26,341.48,,1,1,5.0,0
North Indian,wheat roti + chana dal,veg,1 medium + 1 cup cooked,15.98,60.16,8.19,15.37,0,222.4,371.31,,1,1,5.0,0
North Indian,channa bhature,veg,1 bhatura with chole,13.24,58.91,26.96,11.07,0,281.08,510.88,,0,0,5.0,0
North Indian,chole puri,veg,1 serving,15.11,54.05,14.28,13.33,0,226.02,392.59,,0,0,5.0,0
North Indian,chana poori,veg,1 serving,15.11,54.05,14.28,13.33,0,226.02,392.59,,0,0,5.0,0
North Indian,chicken rotisserie,non veg,1 serving (3 oz),21.93,0.02,10.3,0.0,0,85.0,180.51,,0,0,5.0,chicken
North Indian,rotisserie drumstick,non veg,1 drumstick,14.24,0.01,6.35,0.0,0,53.0,113.95,,0,0,5.0,chicken
North Indian,rotisserie chicken thigh,non veg,1 thigh,20.41,0.02,13.97,0.0,0,89.0,207.37,,0,0,5.0,chicken
North Indian,rotisserie chicken breast,non veg,1 serving (3 oz),23.36,0.02,6.95,0.0,0,85.0,156.4,,0,0,5.0,chicken
general,hakka noodles,veg,2 cups,18.43,52.26,17.16,5.77,0,400.0,424.13,,0,0,5.0,0
general,veg fried rice,veg,1 cup,8.01,29.71,14.28,2.11,0,166.99,278.8,,0,0,5.0,0
general,veggie pizza,veg,1 medium slice,10.95,32.7,9.91,2.48,0,108.0,262.8,,0,0,5.0,0
general,mushroom soup,veg,1 can,14.87,36.29,22.55,1.89,0,630.0,409.5,,0,0,5.0,0
